ID;MM_IN_BANK;MM_W_CARD;AGE;GENDER;EDUCATION_LEVEL;MARITAL_STATUS;DEPENDANT_CNT;INCOME_MAIN_AMT;REG_CODE;COUNT_TRANS
500000001433391136;13;13;26;2;-1;-1;0;;24;7
500000000049118310;64;46;46;1;1;1;2;20000.0;22;1
500000000052193493;2;2;29;1;-1;-1;0;;10;5
500000000119027306;31;7;30;2;-1;1;0;;81;1
500000000000568347;143;107;37;2;5;1;1;98000.0;7;9
500000000001288093;26;1;29;1;4;1;0;10.0;25;
500000001571396319;13;11;30;2;-1;-1;0;;11;
500000002711310671;5;5;36;1;3;3;1;34000.0;29;8
500000000004331782;0;0;32;1;-1;-1;0;;79;4
500000000000582064;106;106;39;1;-1;-1;0;50000.0;21;10
500000000053180014;41;26;25;2;-1;-1;0;45000.0;15;3
500000000006567978;211;211;56;2;-1;1;0;;79;
500000000053779450;21;21;33;2;1;3;1;135000.0;21;2
500000001639015830;12;12;21;2;-1;-1;0;;62;20
500000004016092112;0;0;31;1;-1;-1;0;80000.0;37;24
500000000155249589;0;0;23;1;-1;-1;0;42000.0;37;4
500000000886469467;0;0;22;1;-1;1;0;;37;9
500000000052306926;31;19;39;1;-1;-1;0;;81;10
500000000126050862;23;18;30;2;-1;2;0;;71;10
500000000003701689;88;2;32;1;4;1;0;500000.0;28;
500000003728646610;2;2;42;1;-1;-1;0;;38;5
500000000001673406;137;1;60;2;3;3;0;207000.0;75;3
500000002933686100;33;4;45;2;-1;1;0;47000.0;24;4
500000000054579974;34;28;51;2;1;3;1;290000.0;63;6
500000000051210441;48;27;60;1;-1;-1;0;80000.0;53;1
500000001550815893;15;0;47;2;-1;-1;0;;32;
500000002071556774;9;9;45;2;5;1;0;70000.0;83;22
500000000121977438;31;1;42;1;1;4;0;48000.0;47;
500000001364714534;42;11;47;2;1;4;0;;66;2
500000000006088785;162;0;37;1;5;3;2;60000.0;65;
500000002390592906;1;0;36;2;-1;-1;0;650000.0;75;3
500000000481964123;20;20;53;1;-1;-1;0;100000.0;65;14
500000000003470202;173;1;41;2;5;3;0;568000.0;31;24
500000000006624896;179;179;45;1;-1;-1;0;;32;4
500000000570617923;19;19;55;1;-1;-1;0;;21;6
500000000640300054;17;17;32;1;-1;-1;0;;32;3
500000000121419928;3;3;27;2;-1;-1;0;30000.0;63;2
500000000490919101;21;21;50;2;-1;-1;0;;65;3
500000000053427600;18;16;32;2;-1;-1;0;;35;5
500000000052811461;42;17;59;1;-1;-1;0;;31;8
500000000053102410;40;23;47;1;1;3;1;70000.0;76;1
500000000997900979;17;17;40;2;5;3;1;53000.0;11;5
500000002019803570;9;9;50;1;-1;-1;0;;31;11
500000000053241579;39;39;37;2;-1;-1;0;;32;11
500000000049775035;58;58;36;1;-1;-1;0;;65;8
500000000509885596;13;12;63;2;-1;-1;0;20000.0;26;1
500000000481951234;0;0;61;2;-1;-1;0;175000.0;30;2
500000000006003209;188;187;48;1;6;3;0;457000.0;31;18
500000000001930172;97;1;32;2;1;-1;0;85000.0;32;
500000000052583703;43;43;42;2;-1;-1;0;100000.0;52;2
500000000002490259;98;8;55;1;4;-1;2;500000.0;65;5
500000003009811894;4;4;30;2;-1;-1;0;;7;3
500000000005190475;169;169;41;2;1;3;1;186000.0;79;
500000004368778953;1;1;32;2;-1;-1;0;80000.0;71;5
500000000155265204;23;8;32;2;1;3;1;;78;
500000002331477697;7;7;53;2;-1;-1;0;60000.0;70;22
500000003319256250;2;2;57;1;5;3;0;35000.0;12;
500000000054708207;16;16;41;1;-1;-1;0;;82;11
500000001613874143;12;7;34;1;5;3;0;70000.0;6;1
500000001020563441;5;5;47;1;-1;-1;0;240000.0;42;9
500000000004939203;86;22;38;2;-1;3;0;50000.0;24;3
500000000366190925;0;0;29;1;-1;-1;0;120000.0;32;2
500000000050196477;55;12;56;2;-1;3;0;;31;2
500000000001546053;82;14;42;1;1;4;1;35000.0;32;1
500000002728997530;5;5;41;2;-1;-1;0;100000.0;18;
500000000049083677;64;21;43;1;5;3;0;40000.0;62;11
500000000142077412;27;27;47;1;-1;-1;0;;24;14
500000003089940291;3;3;33;2;-1;-1;0;;37;2
500000002135569483;8;0;59;1;3;3;2;90000.0;25;7
500000000001176935;88;0;51;1;1;1;0;42000.0;79;1
500000000131852346;29;23;58;2;-1;2;0;15000.0;21;1
500000000594824217;20;20;45;1;-1;-1;0;;75;1
500000000048620566;70;45;45;2;5;3;1;200000.0;32;21
500000001408734098;5;2;36;2;3;4;2;;78;6
500000001515357895;0;0;41;2;-1;-1;0;40000.0;77;6
500000000054981437;14;10;34;1;1;4;0;44000.0;31;5
500000000003449560;187;187;42;1;5;3;3;173000.0;31;12
500000000050361087;57;0;26;1;-1;-1;0;;43;4
500000000586634947;2;2;29;1;-1;-1;0;100000.0;24;4
500000001753526320;0;0;36;1;-1;-1;0;;47;1
500000000123467098;32;0;25;2;3;1;0;;68;4
500000000003733975;168;168;51;1;-1;-1;0;;47;2
500000000050263018;54;40;26;2;5;-1;0;35000.0;39;6
500000003359273851;2;2;36;1;-1;-1;0;115000.0;80;2
500000000049560358;59;8;24;2;5;1;0;40000.0;63;23
500000000002708610;84;84;49;1;1;1;0;20000.0;77;5
500000000512550599;2;2;21;2;-1;-1;0;60000.0;68;15
500000000050876325;50;21;57;1;1;3;0;40000.0;74;17
500000000006947711;88;48;37;2;5;4;1;50000.0;68;
500000001035422790;16;5;39;1;5;1;0;224000.0;32;1
500000000565603990;19;19;68;2;-1;-1;0;;47;1
500000002095024030;8;1;33;1;5;3;1;300000.0;31;4
500000000117746609;31;31;45;2;-1;-1;0;;57;2
500000002483833628;6;6;36;2;-1;-1;0;30000.0;25;2
500000000883038881;17;5;27;2;5;1;0;;85;2
500000000945713082;18;18;30;2;-1;-1;0;;65;7
500000002402802698;5;5;30;1;-1;-1;0;30000.0;39;2
500000001980543534;12;1;24;2;3;4;0;41500.0;42;1
500000004109497108;35;0;47;2;-1;-1;0;;31;8
500000000001480040;100;13;45;1;1;3;0;50000.0;65;12
500000000054251163;35;35;32;2;-1;3;0;;65;8
500000000120793555;17;17;41;2;-1;-1;0;;77;3
500000000610585692;21;0;35;1;3;3;0;60000.0;59;1
500000002982840860;4;4;24;1;1;1;0;30000.0;47;25
500000000155044199;25;15;29;1;-1;-1;0;;31;7
500000003214965196;6;6;44;2;-1;-1;0;;64;1
500000003485801228;1;1;45;2;5;2;0;;62;1
500000004202811487;63;1;29;1;-1;-1;0;25000.0;32;3
500000000005400578;50;17;44;2;-1;-1;0;35000.0;31;14
500000003945462531;0;0;21;2;-1;-1;0;;59;3
500000000584053288;19;13;65;2;-1;-1;0;;47;14
500000003951644042;0;0;33;2;-1;-1;0;;24;2
500000000054344123;32;9;22;2;-1;-1;0;;44;2
500000000050289158;54;3;35;2;4;3;4;68000.0;74;2
500000000051180618;49;16;70;2;-1;-1;0;;31;19
500000000050004536;56;56;26;2;-1;-1;0;;32;3
500000000053120688;41;41;42;2;-1;-1;0;30000.0;75;1
500000000498012671;20;20;31;2;-1;-1;0;619000.0;81;3
500000000051977897;45;7;26;1;5;1;0;160000.0;32;11
500000002907153058;4;4;37;1;-1;-1;0;;62;15
500000000050751425;51;51;69;2;1;5;0;160000.0;79;5
500000003106654315;0;0;49;2;-1;-1;0;30000.0;71;12
500000000007619579;81;0;38;1;5;3;2;170000.0;8;2
500000000236864689;24;17;24;1;-1;-1;0;23000.0;83;6
500000000006777674;100;10;44;1;-1;-1;0;;35;4
500000000162914702;25;5;22;1;-1;-1;0;;31;
500000001008129023;17;17;48;1;-1;-1;0;24000.0;41;19
500000000001102691;86;4;62;2;5;4;0;20000.0;64;5
500000004174664715;10;0;19;1;-1;1;0;;24;3
500000000150998419;3;1;30;2;1;3;2;60000.0;71;11
500000000052761480;6;6;56;1;-1;-1;0;30000.0;25;2
500000000001350973;107;19;32;1;-1;-1;0;16000.0;59;2
500000000050400881;53;20;58;2;-1;-1;0;;31;11
500000000132815559;29;29;36;2;-1;-1;0;;24;
500000000584055505;19;19;48;2;-1;-1;0;;37;23
500000000050159489;55;11;50;1;1;3;3;;70;2
500000002876033434;4;4;23;2;-1;-1;0;;32;1
500000000153409003;25;25;35;2;-1;-1;0;;59;24
500000000007388834;83;5;57;2;1;3;0;24000.0;26;4
500000000002351283;110;12;30;1;1;1;0;150000.0;47;3
500000001695183110;11;9;48;1;5;3;0;46000.0;6;2
500000001221530615;14;14;53;1;-1;-1;0;60000.0;72;5
500000000122290503;12;1;42;1;5;3;0;;71;7
500000000139231221;27;27;31;2;-1;-1;0;;74;37
500000003666912984;0;0;41;2;-1;-1;0;;85;3
500000000054168005;92;35;47;2;1;5;0;20000.0;47;12
500000000119306693;31;19;30;2;-1;-1;0;;24;42
500000003033004066;4;4;32;1;-1;-1;0;;37;5
500000000050608338;52;18;50;1;-1;-1;0;;17;19
500000000153197087;22;2;27;1;1;3;1;45000.0;68;2
500000000622598256;18;14;34;1;5;3;1;;68;1
500000000389121693;2;0;27;1;5;1;0;92000.0;32;29
500000003737945363;2;2;37;2;-1;-1;0;74000.0;47;3
500000003792906000;0;0;47;1;-1;-1;0;60000.0;1;6
500000003106640082;5;5;42;1;-1;-1;0;30000.0;19;3
500000000051473756;47;43;55;1;-1;-1;0;;9;2
500000001173158548;6;6;22;2;4;1;0;35000.0;25;4
500000003105639199;0;0;25;2;-1;-1;0;30000.0;42;
500000000049012835;65;18;28;2;-1;-1;0;20000.0;47;1
500000000007193269;173;173;56;2;1;3;0;133500.0;79;9
500000003647742294;0;0;47;2;-1;-1;0;38000.0;43;
500000000131713033;29;28;36;2;-1;-1;0;;31;1
500000000518442175;12;12;48;2;-1;5;0;0.0;79;6
500000000893936319;1;1;38;2;-1;3;1;;31;9
500000000596301071;19;18;22;1;-1;1;0;25000.0;65;3
500000002158115659;8;1;57;1;5;3;0;;68;2
500000000004811412;139;127;35;1;-1;-1;0;;37;6
